# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Web Edition
# File: C:\Users\Tippy\Documents\Lab 5\Lab 5 Altera Pin-Layout.csv
# Generated on: Tue Sep 20 09:16:23 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
BhexU[2],Output,PIN_W21,5,B5_N1,PIN_B23,,,,,,
BhexU[1],Output,PIN_Y22,5,B5_N0,PIN_D25,,,,,,
BhexU[0],Output,PIN_M24,6,B6_N2,PIN_B25,,,,,,
Bval[7],Output,,,,PIN_C25,,,,,,
Bval[6],Output,,,,PIN_D23,,,,,,
Bval[5],Output,,,,PIN_C23,,,,,,
Bval[4],Output,,,,PIN_E18,,,,,,
Bval[3],Output,,,,PIN_J19,,,,,,
Bval[2],Output,,,,PIN_J17,,,,,,
Bval[1],Output,,,,PIN_G22,,,,,,
Bval[0],Output,,,,PIN_G18,,,,,,
ClearA_LoadB,Input,PIN_N21,6,B6_N2,PIN_D18,,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
M,Output,,,,PIN_G19,,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
Run,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
S[7],Input,PIN_AB26,5,B5_N1,PIN_D20,,,,,,
S[6],Input,PIN_AD26,5,B5_N2,PIN_E24,,,,,,
S[5],Input,PIN_AC26,5,B5_N2,PIN_C18,,,,,,
S[4],Input,PIN_AB27,5,B5_N1,PIN_B22,,,,,,
S[3],Input,PIN_AD27,5,B5_N2,PIN_A21,,,,,,
S[2],Input,PIN_AC27,5,B5_N2,PIN_F18,,,,,,
S[1],Input,PIN_AC28,5,B5_N2,PIN_J27,,,,,,
S[0],Input,PIN_AB28,5,B5_N1,PIN_J28,,,,,,
X,Output,PIN_F17,7,B7_N2,PIN_W7,,,,,,
Ahex0[6],Unknown,,,,,,,,,,
Ahex0[5],Unknown,,,,,,,,,,
Ahex0[4],Unknown,,,,,,,,,,
Ahex0[3],Unknown,,,,,,,,,,
Ahex0[2],Unknown,,,,,,,,,,
Ahex0[1],Unknown,,,,,,,,,,
Ahex0[0],Unknown,,,,,,,,,,
Ahex1[6],Unknown,,,,,,,,,,
Ahex1[5],Unknown,,,,,,,,,,
Ahex1[4],Unknown,,,,,,,,,,
Ahex1[3],Unknown,,,,,,,,,,
Ahex1[2],Unknown,,,,,,,,,,
Ahex1[1],Unknown,,,,,,,,,,
Ahex1[0],Unknown,,,,,,,,,,
Ahex2[6],Unknown,,,,,,,,,,
Ahex2[5],Unknown,,,,,,,,,,
Ahex2[4],Unknown,,,,,,,,,,
Ahex2[3],Unknown,,,,,,,,,,
Ahex2[2],Unknown,,,,,,,,,,
Ahex2[1],Unknown,,,,,,,,,,
Ahex2[0],Unknown,,,,,,,,,,
Ahex3[6],Unknown,,,,,,,,,,
Ahex3[5],Unknown,,,,,,,,,,
Ahex3[4],Unknown,,,,,,,,,,
Ahex3[3],Unknown,,,,,,,,,,
Ahex3[2],Unknown,,,,,,,,,,
Ahex3[1],Unknown,,,,,,,,,,
Ahex3[0],Unknown,,,,,,,,,,
Bhex0[6],Unknown,,,,,,,,,,
Bhex0[5],Unknown,,,,,,,,,,
Bhex0[4],Unknown,,,,,,,,,,
Bhex0[3],Unknown,,,,,,,,,,
Bhex0[2],Unknown,,,,,,,,,,
Bhex0[1],Unknown,,,,,,,,,,
Bhex0[0],Unknown,,,,,,,,,,
Bhex1[6],Unknown,,,,,,,,,,
Bhex1[5],Unknown,,,,,,,,,,
Bhex1[4],Unknown,,,,,,,,,,
Bhex1[3],Unknown,,,,,,,,,,
Bhex1[2],Unknown,,,,,,,,,,
Bhex1[1],Unknown,,,,,,,,,,
Bhex1[0],Unknown,,,,,,,,,,
Bhex2[6],Unknown,,,,,,,,,,
Bhex2[5],Unknown,,,,,,,,,,
Bhex2[4],Unknown,,,,,,,,,,
Bhex2[3],Unknown,,,,,,,,,,
Bhex2[2],Unknown,,,,,,,,,,
Bhex2[1],Unknown,,,,,,,,,,
Bhex2[0],Unknown,,,,,,,,,,
Bhex3[6],Unknown,,,,,,,,,,
Bhex3[5],Unknown,,,,,,,,,,
Bhex3[4],Unknown,,,,,,,,,,
Bhex3[3],Unknown,,,,,,,,,,
Bhex3[2],Unknown,,,,,,,,,,
Bhex3[1],Unknown,,,,,,,,,,
Bhex3[0],Unknown,,,,,,,,,,
LoadB,Unknown,,,,,,,,,,
SW[15],Unknown,,,,,,,,,,
SW[14],Unknown,,,,,,,,,,
SW[13],Unknown,,,,,,,,,,
SW[12],Unknown,,,,,,,,,,
SW[11],Unknown,,,,,,,,,,
SW[10],Unknown,,,,,,,,,,
SW[9],Unknown,,,,,,,,,,
SW[8],Unknown,,,,,,,,,,
SW[7],Unknown,,,,,,,,,,
SW[6],Unknown,,,,,,,,,,
SW[5],Unknown,,,,,,,,,,
SW[4],Unknown,,,,,,,,,,
SW[3],Unknown,,,,,,,,,,
SW[2],Unknown,,,,,,,,,,
SW[1],Unknown,,,,,,,,,,
SW[0],Unknown,,,,,,,,,,
Sum[15],Unknown,,,,,,,,,,
Sum[14],Unknown,,,,,,,,,,
Sum[13],Unknown,,,,,,,,,,
Sum[12],Unknown,,,,,,,,,,
Sum[11],Unknown,,,,,,,,,,
Sum[10],Unknown,,,,,,,,,,
Sum[9],Unknown,,,,,,,,,,
Sum[8],Unknown,,,,,,,,,,
Sum[7],Unknown,,,,,,,,,,
Sum[6],Unknown,,,,,,,,,,
Sum[5],Unknown,,,,,,,,,,
Sum[4],Unknown,,,,,,,,,,
Sum[3],Unknown,,,,,,,,,,
Sum[2],Unknown,,,,,,,,,,
Sum[1],Unknown,,,,,,,,,,
Sum[0],Unknown,,,,,,,,,,
CO,Unknown,,,,,,,,,,
